"","last_trt","resist_class","X","resist_id","lowsev_fire","rx_pile","mech_under","modsev_fire","highsev_fire","diff.1.to.2","area_ha","test.high","test.mod","test.low","resist_class_f"
"199",1993,"Low resistance",1841,3021,0,0,2,0,0,3,0.0000000000000181898940354586,2,0,2,"Low resistance"
"200",1993,"Moderate resistance",1341,2173,0,0,2,0,0,24,0.0091207609062255,2,0,2,"Moderate resistance"
"201",1993,"Moderate resistance",1349,2184,0,0,3,0,0,24,0.0309174428220023,3,0,3,"Moderate resistance"
"202",1993,"Moderate resistance",1720,2786,0,0,2,0,0,42,0.000497510805172798,2,0,2,"Moderate resistance"
"203",1993,"Moderate resistance",1724,2793,0,0,3,0,0,40,0.0724503799237347,3,0,3,"Moderate resistance"
"204",1993,"Moderate resistance",1727,2797,0,0,2,0,0,41,0.0000000000000698491930961609,2,0,2,"Moderate resistance"
"205",1993,"Moderate resistance",1730,2800,0,0,2,0,0,34,0.00000000000000582076609134674,2,0,2,"Moderate resistance"
"206",1993,"Moderate resistance",1748,2820,0,0,2,0,0,32,0.0489400075676153,2,0,2,"Moderate resistance"
"207",1993,"Moderate resistance",3647,6466,0,1,0,0,0,1993,0.0000000000000553654028439404,1,1,0,"Moderate resistance"
"208",1993,"Moderate resistance",4024,6881,0,1,0,0,0,1993,0.0562124548517629,1,1,0,"Moderate resistance"
"209",1993,"Moderate resistance",4991,8446,0,1,0,0,0,1993,0.318339034248655,1,1,0,"Moderate resistance"
"210",1994,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"211",1994,"Low resistance",1202,1952,0,0,1,0,0,1994,0.000000000000307773007079959,1,0,1,"Low resistance"
"212",1994,"Low resistance",1205,1956,0,0,2,0,0,3,0.124812629244647,2,0,2,"Low resistance"
"213",1994,"Low resistance",1356,2195,0,0,2,0,0,1,0.00000000000000582076609134674,2,0,2,"Low resistance"
"214",1994,"Low resistance",1366,2209,0,0,1,0,0,1994,0.00000000000000436557456851006,1,0,1,"Low resistance"
"215",1994,"Low resistance",1372,2216,0,0,4,0,0,2,0.051386509447865,4,0,4,"Low resistance"
"216",1994,"Low resistance",1375,2224,0,0,3,0,0,2,0.0753302608420098,3,0,3,"Low resistance"
"217",1994,"Low resistance",1386,2240,0,0,4,0,0,2,0.000758767050146957,4,0,4,"Low resistance"
"218",1994,"Low resistance",1751,2823,0,0,3,0,0,11,0.435566714430544,3,0,3,"Low resistance"
"219",1994,"Low resistance",1793,2943,0,0,1,0,0,1994,1.53414680665288,1,0,1,"Low resistance"
"220",1994,"Low resistance",1833,3011,0,0,2,0,0,2,0.000000405215704761019,2,0,2,"Low resistance"
"221",1994,"Low resistance",1852,3035,0,0,3,0,0,4,0.546578544279017,3,0,3,"Low resistance"
"222",1994,"Low resistance",1855,3039,0,0,4,0,0,4,0.443279470484283,4,0,4,"Low resistance"
"223",1994,"Low resistance",1892,3128,0,0,2,0,0,4,0.000682275467152067,2,0,2,"Low resistance"
"224",1994,"Moderate resistance",960,1558,0,0,2,0,0,23,0.117542598061837,2,0,2,"Moderate resistance"
"225",1994,"Moderate resistance",1351,2188,0,0,2,0,0,25,0.010474264794495,2,0,2,"Moderate resistance"
"226",1994,"Moderate resistance",1365,2207,0,0,3,0,0,25,0.0136633521648706,3,0,3,"Moderate resistance"
"227",1994,"Moderate resistance",1753,2825,0,0,2,0,0,23,0.754010491867542,2,0,2,"Moderate resistance"
"228",1994,"Moderate resistance",1760,2848,0,0,4,0,0,25,0.0000000000000145519152283669,4,0,4,"Moderate resistance"
"229",1994,"Moderate resistance",1779,2910,0,0,3,0,0,27,0.011184681861673,3,0,3,"Moderate resistance"
"230",1994,"Moderate resistance",1783,2915,0,0,2,0,0,33,0,2,0,2,"Moderate resistance"
"231",1994,"Moderate resistance",1785,2920,0,0,3,0,0,27,0.000712644067403744,3,0,3,"Moderate resistance"
