,resist_id,last_trt,area_ha,recent_dist_yr,recent_dist_type,unit_name,grove_name,prior1_dist_yr,prior1_dist_type,prior2_dist_yr,prior2_dist_type,keep,prior1_dist_yr_0,diff.1.to.2,resst_d
193,250,2023,2.484193783,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2019,mech_under,2016,mech_under,T,2019,4,250
194,253,2023,15.47602585,2023,mech_under,Giant Sequoia National Monument,Big Stump,2021,rx_pile,NA,NA,T,2021,2,253
195,253,2023,15.47602585,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2023,mech_under,2021,rx_pile,T,2023,0,253
196,254,2023,0.000149278,2023,mech_under,Giant Sequoia National Monument,Big Stump,2021,rx_pile,2017,rx_pile,T,2021,2,254
197,254,2023,0.000149278,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2023,mech_under,2021,rx_pile,T,2023,0,254
198,255,2023,0.930211767,2023,mech_under,Giant Sequoia National Monument,Big Stump,2021,rx_pile,2017,rx_pile,T,2021,2,255
199,255,2023,0.930211767,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2023,mech_under,2021,rx_pile,T,2023,0,255
200,257,2023,1.01434E-10,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2017,rx_pile,NA,NA,T,2017,6,257
201,258,2023,1.22292E-06,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2017,rx_pile,2016,mech_under,T,2017,6,258
202,259,2023,5.014962407,2023,rx_pile,Giant Sequoia National Monument,Big Stump,NA,NA,NA,NA,T,0,2023,259
203,260,2023,0.257822119,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2019,mech_under,2018,mech_under,T,2019,4,260
