"","dist_year","dist_type","grove_name","unit_name","landowner","hectares","dist_group"
"124",2015,"modsev_fire","Boulder Creek","Giant Sequoia National Monument","US Forest Service",1.8,"Wildfire"
"125",2015,"modsev_fire","Cabin Creek","Giant Sequoia National Monument","US Forest Service",23.4,"Wildfire"
"126",2015,"modsev_fire","Cherry Gap","Giant Sequoia National Monument","US Forest Service",16.4,"Wildfire"
"127",2015,"modsev_fire","Converse Basin","Giant Sequoia National Monument","US Forest Service",177,"Wildfire"
"128",2015,"modsev_fire","Converse Mountain","Giant Sequoia National Monument","US Forest Service",0.7,"Wildfire"
"129",2015,"modsev_fire","Converse Saddle","Giant Sequoia National Monument","US Forest Service",4.2,"Wildfire"
"130",2015,"modsev_fire","Deer Meadow","Giant Sequoia National Monument","US Forest Service",12.2,"Wildfire"
"131",2015,"modsev_fire","Evans","Giant Sequoia National Monument","US Forest Service",181.4,"Wildfire"
"132",2015,"modsev_fire","General Grant","Giant Sequoia National Monument","US Forest Service",8.4,"Wildfire"
"133",2015,"modsev_fire","Hoist Ridge","Giant Sequoia National Monument","US Forest Service",8.3,"Wildfire"
"134",2015,"modsev_fire","Indian Basin","Giant Sequoia National Monument","US Forest Service",0.1,"Wildfire"
"135",2015,"modsev_fire","Kennedy","Giant Sequoia National Monument","US Forest Service",27.2,"Wildfire"
"136",2015,"modsev_fire","Little Boulder","Giant Sequoia National Monument","US Forest Service",7.1,"Wildfire"
"137",2015,"modsev_fire","Lockwood","Giant Sequoia National Monument","US Forest Service",8.2,"Wildfire"
"138",2015,"modsev_fire","Verplank","Giant Sequoia National Monument","US Forest Service",3.5,"Wildfire"
"139",2015,"undetected_change","General Grant","Sequoia and Kings Canyon National Parks","National Park Service",3.9,"Wildfire"
"140",2015,"undetected_change","Boulder Creek","Giant Sequoia National Monument","US Forest Service",0.1,"Wildfire"
"141",2015,"undetected_change","Cabin Creek","Giant Sequoia National Monument","US Forest Service",0.7,"Wildfire"
"142",2015,"undetected_change","Cherry Gap","Giant Sequoia National Monument","US Forest Service",1.3,"Wildfire"
"143",2015,"undetected_change","Converse Basin","Giant Sequoia National Monument","US Forest Service",168.9,"Wildfire"
"144",2015,"undetected_change","Deer Meadow","Giant Sequoia National Monument","US Forest Service",0,"Wildfire"
"145",2015,"undetected_change","Evans","Giant Sequoia National Monument","US Forest Service",2.2,"Wildfire"
"146",2015,"undetected_change","Hoist Ridge","Giant Sequoia National Monument","US Forest Service",1.3,"Wildfire"
"147",2015,"undetected_change","Little Boulder","Giant Sequoia National Monument","US Forest Service",0.7,"Wildfire"
"148",2016,"lowsev_fire","Maggie Mountain","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.4,"Wildfire"
"149",2016,"lowsev_fire","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",8.7,"Wildfire"
"150",2016,"lowsev_fire","Silver Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.4,"Wildfire"
"151",2016,"lowsev_fire","Cunningham","Giant Sequoia National Monument","US Forest Service",3.8,"Wildfire"
"152",2016,"lowsev_fire","Long Meadow","Giant Sequoia National Monument","US Forest Service",2.3,"Wildfire"
"153",2016,"lowsev_fire","Maggie Mountain","Giant Sequoia National Monument","US Forest Service",4.1,"Wildfire"
"154",2016,"lowsev_fire","Middle Tule","Giant Sequoia National Monument","US Forest Service",17.8,"Wildfire"
"155",2016,"lowsev_fire","Silver Creek","Giant Sequoia National Monument","US Forest Service",0.1,"Wildfire"
"156",2016,"modsev_fire","Maggie Mountain","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.1,"Wildfire"
"157",2016,"modsev_fire","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.9,"Wildfire"
"158",2016,"modsev_fire","Cunningham","Giant Sequoia National Monument","US Forest Service",0.3,"Wildfire"
"159",2016,"modsev_fire","Long Meadow","Giant Sequoia National Monument","US Forest Service",0.1,"Wildfire"
"160",2016,"modsev_fire","Maggie Mountain","Giant Sequoia National Monument","US Forest Service",0.2,"Wildfire"
"161",2016,"modsev_fire","Middle Tule","Giant Sequoia National Monument","US Forest Service",0.6,"Wildfire"
"162",2016,"undetected_change","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",27.6,"Wildfire"
"163",2016,"undetected_change","Long Meadow","Giant Sequoia National Monument","US Forest Service",1.5,"Wildfire"
"164",2016,"undetected_change","Maggie Mountain","Giant Sequoia National Monument","US Forest Service",5.5,"Wildfire"
"165",2016,"undetected_change","Middle Tule","Giant Sequoia National Monument","US Forest Service",7.7,"Wildfire"
"166",2017,"highsev_fire","Black Mountain","Private","Private",2.1,"Wildfire"
"167",2017,"highsev_fire","Nelder","Private","Private",3.5,"Wildfire"
"168",2017,"highsev_fire","Black Mountain","Giant Sequoia National Monument","US Forest Service",20.3,"Wildfire"
"169",2017,"highsev_fire","Nelder","Sierra National Forest","US Forest Service",17.6,"Wildfire"
"170",2017,"lowsev_fire","Black Mountain","Private","Private",5.1,"Wildfire"
"171",2017,"lowsev_fire","Alder Creek","Giant Sequoia National Monument","US Forest Service",1.8,"Wildfire"
"172",2017,"lowsev_fire","Black Mountain","Giant Sequoia National Monument","US Forest Service",284.5,"Wildfire"
"173",2017,"lowsev_fire","Nelder","Sierra National Forest","US Forest Service",57.6,"Wildfire"
"174",2017,"modsev_fire","Black Mountain","Private","Private",4.8,"Wildfire"
"175",2017,"modsev_fire","Black Mountain","Giant Sequoia National Monument","US Forest Service",95.9,"Wildfire"
"176",2017,"modsev_fire","Nelder","Sierra National Forest","US Forest Service",6.3,"Wildfire"
"177",2017,"undetected_change","Alder Creek","Save the Redwoods League","Nonprofit",1.1,"Wildfire"
"178",2017,"undetected_change","Alder Creek","Private","Private",1.2,"Wildfire"
"179",2017,"undetected_change","Black Mountain","Private","Private",5.4,"Wildfire"
"180",2017,"undetected_change","Alder Creek","Giant Sequoia National Monument","US Forest Service",8.9,"Wildfire"
"181",2017,"undetected_change","Black Mountain","Giant Sequoia National Monument","US Forest Service",80.3,"Wildfire"
"182",2017,"undetected_change","Nelder","Sierra National Forest","US Forest Service",28.6,"Wildfire"
"183",2018,"highsev_fire","Silver Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.3,"Wildfire"
"184",2018,"highsev_fire","Eden Creek","Sequoia and Kings Canyon National Parks","National Park Service",0,"Wildfire"
"185",2018,"highsev_fire","Burro Creek","Giant Sequoia National Monument","US Forest Service",0,"Wildfire"
"186",2018,"highsev_fire","Silver Creek","Giant Sequoia National Monument","US Forest Service",0.2,"Wildfire"
"187",2018,"lowsev_fire","Burro Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0,"Wildfire"
"188",2018,"lowsev_fire","Maggie Mountain","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.1,"Wildfire"
"189",2018,"lowsev_fire","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.2,"Wildfire"
"190",2018,"lowsev_fire","Silver Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",6,"Wildfire"
"191",2018,"lowsev_fire","Eden Creek","Sequoia and Kings Canyon National Parks","National Park Service",39.9,"Wildfire"
"192",2018,"lowsev_fire","Burro Creek","Giant Sequoia National Monument","US Forest Service",9.8,"Wildfire"
"193",2018,"lowsev_fire","Silver Creek","Giant Sequoia National Monument","US Forest Service",8.3,"Wildfire"
"194",2018,"lowsev_fire","Wishon","Giant Sequoia National Monument","US Forest Service",0.1,"Wildfire"
"195",2018,"modsev_fire","Silver Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",1.2,"Wildfire"
"196",2018,"modsev_fire","Eden Creek","Sequoia and Kings Canyon National Parks","National Park Service",0.5,"Wildfire"
"197",2018,"modsev_fire","Burro Creek","Giant Sequoia National Monument","US Forest Service",0.9,"Wildfire"
"198",2018,"modsev_fire","Silver Creek","Giant Sequoia National Monument","US Forest Service",1.6,"Wildfire"
"199",2018,"undetected_change","Maggie Mountain","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.1,"Wildfire"
"200",2018,"undetected_change","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",1.4,"Wildfire"
"201",2018,"undetected_change","Silver Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",2,"Wildfire"
"202",2018,"undetected_change","Coffeepot Canyon","Sequoia and Kings Canyon National Parks","National Park Service",1,"Wildfire"
"203",2018,"undetected_change","Eden Creek","Sequoia and Kings Canyon National Parks","National Park Service",109.7,"Wildfire"
"204",2018,"undetected_change","Giant Forest","Sequoia and Kings Canyon National Parks","National Park Service",0.9,"Wildfire"
"205",2018,"undetected_change","Burro Creek","Giant Sequoia National Monument","US Forest Service",34.6,"Wildfire"
"206",2018,"undetected_change","Maggie Mountain","Giant Sequoia National Monument","US Forest Service",0,"Wildfire"
"207",2018,"undetected_change","Silver Creek","Giant Sequoia National Monument","US Forest Service",3,"Wildfire"
"208",2018,"undetected_change","Wishon","Giant Sequoia National Monument","US Forest Service",4.5,"Wildfire"
"209",2020,"highsev_fire","Mountain Home","Tulare County","County",0,"Wildfire"
"210",2020,"highsev_fire","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",1.5,"Wildfire"
"211",2020,"highsev_fire","Mountain Home","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",108.1,"Wildfire"
"212",2020,"highsev_fire","Board Camp","Sequoia and Kings Canyon National Parks","National Park Service",16.3,"Wildfire"
"213",2020,"highsev_fire","Cedar Flat","Sequoia and Kings Canyon National Parks","National Park Service",0.1,"Wildfire"
"214",2020,"highsev_fire","Dillonwood","Sequoia and Kings Canyon National Parks","National Park Service",19.5,"Wildfire"
"215",2020,"highsev_fire","Forgotten","Sequoia and Kings Canyon National Parks","National Park Service",0.2,"Wildfire"
"216",2020,"highsev_fire","Garfield","Sequoia and Kings Canyon National Parks","National Park Service",17.5,"Wildfire"
"217",2020,"highsev_fire","Homers Nose","Sequoia and Kings Canyon National Parks","National Park Service",26,"Wildfire"
"218",2020,"highsev_fire","South Fork","Sequoia and Kings Canyon National Parks","National Park Service",1.3,"Wildfire"
"219",2020,"highsev_fire","Alder Creek","Save the Redwoods League","Nonprofit",25.9,"Wildfire"
"220",2020,"highsev_fire","Alder Creek","Private","Private",9.2,"Wildfire"
"221",2020,"highsev_fire","Belknap Camp","Private","Private",1.2,"Wildfire"
"222",2020,"highsev_fire","Freeman Creek","Private","Private",3.3,"Wildfire"
"223",2020,"highsev_fire","Mountain Home","Private","Private",0.2,"Wildfire"
"224",2020,"highsev_fire","Alder Creek","Giant Sequoia National Monument","US Forest Service",37.2,"Wildfire"
"225",2020,"highsev_fire","Belknap Camp","Giant Sequoia National Monument","US Forest Service",11.2,"Wildfire"
"226",2020,"highsev_fire","Carr Wilson","Giant Sequoia National Monument","US Forest Service",1.9,"Wildfire"
"227",2020,"highsev_fire","Dillonwood","Giant Sequoia National Monument","US Forest Service",38,"Wildfire"
"228",2020,"highsev_fire","Dillonwood - West","Giant Sequoia National Monument","US Forest Service",0.8,"Wildfire"
"229",2020,"highsev_fire","Freeman Creek","Giant Sequoia National Monument","US Forest Service",343.9,"Wildfire"
"230",2020,"highsev_fire","McIntyre","Giant Sequoia National Monument","US Forest Service",48.8,"Wildfire"
"231",2020,"highsev_fire","Middle Tule","Giant Sequoia National Monument","US Forest Service",1.9,"Wildfire"
"232",2020,"highsev_fire","Mountain Home","Giant Sequoia National Monument","US Forest Service",52,"Wildfire"
"233",2020,"highsev_fire","Wheel Meadow","Giant Sequoia National Monument","US Forest Service",172.8,"Wildfire"
"234",2020,"lowsev_fire","Mountain Home","Tulare County","County",23.6,"Wildfire"
"235",2020,"lowsev_fire","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",32.4,"Wildfire"
"236",2020,"lowsev_fire","Mountain Home","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",377.5,"Wildfire"
"237",2020,"lowsev_fire","Silver Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.1,"Wildfire"
"238",2020,"lowsev_fire","Board Camp","Sequoia and Kings Canyon National Parks","National Park Service",0.9,"Wildfire"
"239",2020,"lowsev_fire","Cedar Flat","Sequoia and Kings Canyon National Parks","National Park Service",4.5,"Wildfire"
"240",2020,"lowsev_fire","Clough Cave","Sequoia and Kings Canyon National Parks","National Park Service",0.2,"Wildfire"
